,content,time,author,channel
0,add,2021-05-04 06:38:08.539,primary.sqm,general
1,?,2021-05-04 05:57:35.900,Prim,general
2,?,2021-05-04 05:57:05.224,Prim,general
3,?,2021-05-04 05:56:34.935,Prim,general
4,?,2021-05-04 05:56:25.707,Prim,general
5,?,2021-05-04 05:42:56.076,Prim,general
6,?,2021-05-04 05:42:00.664,Prim,general
7,?,2021-05-04 05:39:07.331,Prim,general
8,?,2021-05-04 05:38:00.347,Prim,general
9,?,2021-05-04 05:37:46.407,Prim,general
10,?,2021-05-04 05:36:50.759,Prim,general
11,helooo,2021-05-04 05:13:20.662,primary.sqm,general
12,"file_location = f""{str(channel.guild.id) + '_' + str(channel.id)}.csv"" # Determining file name and location
            data.to_csv(file_location) # Saving the file as a .csv via pandas",2021-05-04 02:22:56.728,Prim,general
13,?,2021-05-04 02:09:43.580,Prim,general
14,?,2021-05-04 02:09:24.692,Prim,general
15,?,2021-05-04 02:07:56.642,primary.sqm,general
16,?,2021-05-04 02:07:49.748,primary.sqm,general
17,?,2021-05-04 02:07:28.124,primary.sqm,general
18,?,2021-05-02 10:22:41.086,Prim,general
19,?,2021-05-02 09:55:27.484,primary.sqm,general
20,1,2021-05-02 09:39:22.275,primary.sqm,general
