,content,time,author,channel
0,?,2021-05-04 08:58:45.297,BigLookBamboo,subgroup
1,testing,2021-05-04 08:58:38.142,BigLookBamboo,subgroup
2,?,2021-05-04 08:55:40.846,BigLookBamboo,subgroup
3,?,2021-05-04 05:36:41.706,Prim,subgroup
4,?,2021-05-04 05:35:49.732,Prim,subgroup
5,?,2021-05-04 05:35:25.192,Prim,subgroup
6,?,2021-05-04 05:33:34.016,primary.sqm,subgroup
7,this is for only subchannel test1,2021-05-04 05:15:14.348,primary.sqm,subgroup
8,,2021-04-14 01:48:20.670,Scraper Bot,subgroup
9,<@831685747635257354>  hello,2021-04-14 01:48:01.348,primary.sqm,subgroup
10,,2021-04-14 01:47:20.040,Scraper Bot,subgroup
11,Hi nice to meet u,2021-04-14 01:47:08.368,primary.sqm,subgroup
12,,2021-04-14 01:46:39.011,Scraper Bot,subgroup
13,Hello this is primmary,2021-04-14 01:46:07.077,primary.sqm,subgroup
14,,2021-04-14 00:18:44.600,Scraper Bot,subgroup
15,hello world! today is so cold,2021-04-14 00:17:49.872,Prim,subgroup
