,content,time,author,channel
0,Ok.,2021-05-16 14:13:21.517,Lee_321,unit-2-python-programming
1,This will determine your final grade as well,2021-05-16 14:13:04.936,Alfred,unit-2-python-programming
2,Sorry!!!,2021-05-16 14:13:02.340,dom_59,unit-2-python-programming
3,"For those who submitted , Good job. Others please get it done as soon as possible.",2021-05-16 14:12:51.684,Alfred,unit-2-python-programming
4,Language!!!,2021-05-16 14:12:45.362,Rushith_007,unit-2-python-programming
5,Yeah I noticed there's one submission. Good work. Wait for your grades.,2021-05-16 14:12:28.252,Rushith_007,unit-2-python-programming
6,I haven't even started it. I have no intention of doing it. Fuck.,2021-05-16 14:11:11.885,dom_59,unit-2-python-programming
7,"nope, its 40% done",2021-05-16 14:11:10.269,arthurlee1,unit-2-python-programming
8,<@!824230233224904714>  submitted,2021-05-16 14:10:55.655,wickjohn1619,unit-2-python-programming
9,It'll be done by tomorrow.,2021-05-16 14:10:45.101,Lee_321,unit-2-python-programming
10,<@!824230233224904714> I'm working on it sir.,2021-05-16 14:10:36.535,Lee_321,unit-2-python-programming
11,This unit is to build the fundamental of programming,2021-05-16 14:10:15.343,Alfred,unit-2-python-programming
12,yeah.,2021-05-16 14:10:12.628,Rushith_007,unit-2-python-programming
13,Did you do the coding assignment that's due tomorrow? or are you still working on it?,2021-05-16 14:10:00.453,Rushith_007,unit-2-python-programming
14,"its better to learn the hard stuff now, it will pay off",2021-05-16 14:09:43.888,Alfred,unit-2-python-programming
15,"Moving on,",2021-05-16 14:09:29.588,Rushith_007,unit-2-python-programming
16,This is a learning platform.,2021-05-16 14:09:20.762,Rushith_007,unit-2-python-programming
17,"Students, keep your cool.",2021-05-16 14:09:11.008,Rushith_007,unit-2-python-programming
18,like hell i will.,2021-05-16 14:06:23.335,Lee_321,unit-2-python-programming
19,relax,2021-05-16 14:06:09.307,wickjohn1619,unit-2-python-programming
20,yeah,2021-05-16 14:06:07.287,dom_59,unit-2-python-programming
21,fuck this,2021-05-16 14:06:02.270,arthurlee1,unit-2-python-programming
22,i second that!!,2021-05-16 14:05:52.006,Lee_321,unit-2-python-programming
23,oofff,2021-05-16 14:05:50.903,wickjohn1619,unit-2-python-programming
24,its matter between passing and failing 🙂,2021-05-16 14:05:44.991,arthurlee1,unit-2-python-programming
25,just fucking google it.,2021-05-16 14:05:32.942,dom_59,unit-2-python-programming
26,yeah man.,2021-05-16 14:05:26.845,dom_59,unit-2-python-programming
