,content,time,author,channel
0,"Alright students, all the best..!",2021-05-16 14:45:19.464,Rushith_007,unit-1-math
1,okay,2021-05-16 14:44:30.407,wickjohn1619,unit-1-math
2,**Especially** those who are in their final semester,2021-05-16 14:44:12.979,Alfred,unit-1-math
3,true bro.,2021-05-16 14:44:04.000,dom_59,unit-1-math
4,Oh i will.,2021-05-16 14:43:54.623,Lee_321,unit-1-math
5,<#839856675417489438> your next unit depends on the votes. If you want/need to retake the semester without going through a semester gap. Then please vote,2021-05-16 14:43:40.255,Alfred,unit-1-math
6,true bro.,2021-05-16 14:42:51.276,dom_59,unit-1-math
7,like hell i will.,2021-05-16 14:42:33.592,Lee_321,unit-1-math
8,hmmmm will do it after the test,2021-05-16 14:42:32.773,arthurlee1,unit-1-math
9,and <#839856675417489438> dont forget to vote for your next best unit in the season planning,2021-05-16 14:42:15.896,Alfred,unit-1-math
10,hahaha feel ya,2021-05-16 14:41:29.405,arthurlee1,unit-1-math
11,yeah. mother of disasters.,2021-05-16 14:41:26.077,Lee_321,unit-1-math
12,what a fucking disaster sem if you ask me,2021-05-16 14:41:07.137,wickjohn1619,unit-1-math
13,"Jokes apart, try getting a pass this time around.",2021-05-16 14:40:57.106,Rushith_007,unit-1-math
14,<@!843013299771670528> you can do this 🙂 just do the sample and refer to the notes,2021-05-16 14:40:19.870,Alfred,unit-1-math
15,You are pretty confident of yourself..!,2021-05-16 14:40:14.509,Rushith_007,unit-1-math
16,wells,2021-05-16 14:39:39.181,arthurlee1,unit-1-math
17,oh,2021-05-16 14:39:37.758,arthurlee1,unit-1-math
18,but,2021-05-16 14:39:36.303,arthurlee1,unit-1-math
19,to,2021-05-16 14:39:34.721,arthurlee1,unit-1-math
20,fucking,2021-05-16 14:39:33.880,arthurlee1,unit-1-math
21,want,2021-05-16 14:39:32.358,arthurlee1,unit-1-math
22,i really dont 😄,2021-05-16 14:39:26.375,arthurlee1,unit-1-math
23,in the same unit.,2021-05-16 14:39:15.775,dom_59,unit-1-math
24,See ya after the semester break..!! <@&839848801854554156>,2021-05-16 14:39:02.615,dom_59,unit-1-math
25,dead man walking 😄,2021-05-16 14:38:57.311,arthurlee1,unit-1-math
26,Amen.,2021-05-16 14:38:29.064,Lee_321,unit-1-math
27,fuck me dead,2021-05-16 14:38:28.851,wickjohn1619,unit-1-math
28,with 3 other units,2021-05-16 14:38:25.537,wickjohn1619,unit-1-math
29,well i am anyway,2021-05-16 14:38:20.463,wickjohn1619,unit-1-math
30,better get butt fucked,2021-05-16 14:38:12.098,wickjohn1619,unit-1-math
31,"like i said , see you guys next semester yall fools",2021-05-16 14:37:59.059,wickjohn1619,unit-1-math
32,seems like it.,2021-05-16 14:37:11.777,dom_59,unit-1-math
33,Got it. We're fucked!!!1,2021-05-16 14:36:50.256,Lee_321,unit-1-math
34,"so please , do not ask for any extension",2021-05-16 14:36:21.760,Alfred,unit-1-math
35,which also include consideration with your other units,2021-05-16 14:36:06.320,Alfred,unit-1-math
