,content,time,author,channel
0,All the best <@&839848667301150720>,2021-05-17 15:10:13.603,Rushith_007,unit-4-workshop-interview
1,and <#839856714659397702>   dont forget to vote for your next best unit in the season planning,2021-05-17 15:10:13.488,Alfred,unit-4-workshop-interview
2,Good luck to you all!,2021-05-17 15:09:33.510,Alfred,unit-4-workshop-interview
3,🤞,2021-05-17 15:09:19.709,Lee_321,unit-4-workshop-interview
4,let's hope the best.,2021-05-17 15:09:10.039,Lee_321,unit-4-workshop-interview
5,yeah.,2021-05-17 15:08:57.752,Lee_321,unit-4-workshop-interview
6,we are doom if its not what we expected,2021-05-17 15:08:52.976,arthurlee1,unit-4-workshop-interview
7,no idea what that mean but yeah,2021-05-17 15:08:41.208,arthurlee1,unit-4-workshop-interview
8,yeah real bad.,2021-05-17 15:08:38.059,dom_59,unit-4-workshop-interview
9,1+1 = fucked,2021-05-17 15:08:27.658,wickjohn1619,unit-4-workshop-interview
10,or not we are fucked,2021-05-17 15:08:16.262,wickjohn1619,unit-4-workshop-interview
11,hopefully the slides helps,2021-05-17 15:08:11.498,wickjohn1619,unit-4-workshop-interview
12,same*,2021-05-17 15:07:55.203,Lee_321,unit-4-workshop-interview
13,sane here,2021-05-17 15:07:50.988,Lee_321,unit-4-workshop-interview
14,agree,2021-05-17 15:07:44.007,dom_59,unit-4-workshop-interview
15,same,2021-05-17 15:07:40.057,wickjohn1619,unit-4-workshop-interview
16,sick of studying,2021-05-17 15:07:33.071,arthurlee1,unit-4-workshop-interview
17,I JUST WANT A JOB NOW,2021-05-17 15:07:28.419,arthurlee1,unit-4-workshop-interview
18,Yeah dude. Hell or high water!!!,2021-05-17 15:07:08.041,Lee_321,unit-4-workshop-interview
19,better to get over with it. I'm pumped up. never been so excited..!,2021-05-17 15:06:46.947,dom_59,unit-4-workshop-interview
20,Ask the <@&839848801854554156>  if you got any doubts.,2021-05-17 15:05:53.707,Rushith_007,unit-4-workshop-interview
21,that soon,2021-05-17 15:05:52.400,arthurlee1,unit-4-workshop-interview
22,yikes,2021-05-17 15:05:47.728,arthurlee1,unit-4-workshop-interview
23,"For those who have interview tomorrow , Good Luck!",2021-05-17 15:05:43.716,Alfred,unit-4-workshop-interview
24,its allow when you have any questions,2021-05-17 15:05:00.710,Alfred,unit-4-workshop-interview
25,what*,2021-05-17 15:04:41.958,wickjohn1619,unit-4-workshop-interview
26,qhat about q &a,2021-05-17 15:04:37.295,wickjohn1619,unit-4-workshop-interview
27,👍,2021-05-17 15:04:32.509,Lee_321,unit-4-workshop-interview
28,"no, just attend",2021-05-17 15:04:17.118,Alfred,unit-4-workshop-interview
29,do we need to register?,2021-05-17 15:04:07.405,arthurlee1,unit-4-workshop-interview
30,for those who need extra workshop. Please attend  tomorrow channel at 4:00pm . We will go through final check for the workshop,2021-05-17 15:03:58.501,Alfred,unit-4-workshop-interview
31,😁,2021-05-17 15:02:37.969,Lee_321,unit-4-workshop-interview
32,yeah. right.,2021-05-17 15:02:25.990,Lee_321,unit-4-workshop-interview
33,That's our job...! 😄,2021-05-17 15:01:31.341,Rushith_007,unit-4-workshop-interview
34,Yeah. appreciate it!!,2021-05-17 15:01:03.324,Lee_321,unit-4-workshop-interview
35,Thanks for the heads up <@&839848801854554156>,2021-05-17 15:00:49.329,dom_59,unit-4-workshop-interview
36,you need not sell yourself short. ask what you think you deserve!!!,2021-05-17 14:59:40.008,Rushith_007,unit-4-workshop-interview
37,you can always drop your CV for checking . Just DM any of the staff. We will help you,2021-05-17 14:59:19.391,Alfred,unit-4-workshop-interview
38,"While you should never mention salary unless asked or prompted, it's important to understand the value of someone with your skills. Be flexible - indicate that you are willing to negotiate for the right opportunity and confirm that you value the position strongly.",2021-05-17 14:58:29.137,Alfred,unit-4-workshop-interview
39,You all need to prepare your cv and resume <@&839848667301150720>,2021-05-17 14:58:17.885,Rushith_007,unit-4-workshop-interview
40,"for question 6, you do **NOT** ask them about it unless being ask",2021-05-17 14:58:03.553,Alfred,unit-4-workshop-interview
41,Me too.,2021-05-17 14:57:18.671,Lee_321,unit-4-workshop-interview
42,$$$,2021-05-17 14:57:17.968,wickjohn1619,unit-4-workshop-interview
43,HAHAHAH,2021-05-17 14:57:14.925,wickjohn1619,unit-4-workshop-interview
44,dont we all?,2021-05-17 14:57:10.809,arthurlee1,unit-4-workshop-interview
45,#note the question above is only common . You might be asked a different question . So prepare well and hard,2021-05-17 14:56:56.983,Alfred,unit-4-workshop-interview
46,I am only interested in Q6😍,2021-05-17 14:56:51.450,dom_59,unit-4-workshop-interview
47,"Hey <#839856714659397702>  <@&839848667301150720> 
This is the top 7 common question you will faced:

```
1)Where do you see yourself in five years time?
2)What are your strengths/weaknesses?
3)Why should we hire you?
4)Tell me about yourself/your work experience
5)Why do you want this job?
6)What are your salary expectations?
7)Why are you the right fit to succeed in this role?
```",2021-05-17 14:55:49.350,Alfred,unit-4-workshop-interview
